Seq#,tTrig,StPos,Tvp,Tva,Trnout,Tmot,EndPos,LagPos,TgtPos,MotErr,DifPos,Tgt+/-,Rot,Ttotal
100,3356,60,52,0,40,40,61,60,0,0,-1,60,0,501
101,3357,60,52,0,40,40,61,61,0,0,0,61,0,500
102,3358,60,52,0,40,40,61,61,0,1,0,61,0,501
103,3359,60,52,0,40,40,60,61,0,0,1,61,0,501
104,3360,60,52,0,40,40,60,61,0,1,1,61,0,501
105,3361,60,52,0,40,40,60,61,0,1,1,61,0,501
106,3362,60,52,0,40,40,60,61,0,1,1,61,0,501
107,3363,60,52,0,40,40,61,61,0,1,0,61,0,501
108,3364,60,52,0,40,40,60,61,0,0,1,61,0,501
109,3366,60,52,0,40,40,60,61,0,0,1,61,0,500
110,3367,60,52,0,40,40,61,61,0,1,0,61,0,501
111,3368,60,52,0,40,40,61,61,0,1,0,61,0,501
112,3369,60,52,0,40,40,60,61,0,0,1,61,0,501
113,3370,60,52,0,40,40,60,60,0,0,0,60,0,501
114,3371,61,53,0,40,40,60,61,0,0,1,61,0,501
115,3372,60,52,0,40,40,60,61,0,0,1,61,0,502
116,3373,60,52,0,40,40,60,60,0,0,0,60,0,501
117,3374,61,53,0,40,40,60,61,0,0,1,61,0,501
118,3375,61,53,0,40,40,60,61,0,0,1,61,0,501
119,3376,61,53,0,40,40,60,60,0,0,0,60,0,501
120,3377,61,53,0,40,40,60,60,0,0,0,60,0,501
121,3378,61,53,0,40,40,60,60,0,0,0,60,0,500
122,3379,61,53,0,40,40,61,60,0,0,-1,60,0,501
123,3380,61,53,0,40,40,60,60,0,1,0,60,0,501
124,3382,61,53,0,40,40,60,60,0,1,0,60,0,501
125,3383,61,53,0,40,40,60,60,0,1,0,60,0,501
126,3384,61,53,0,40,40,60,60,0,1,0,60,0,501
127,3385,60,52,0,40,40,61,60,0,0,-1,60,0,502
128,3386,60,52,0,40,40,61,61,0,0,0,61,0,501
129,3387,60,52,0,40,40,61,60,0,1,-1,60,0,501
130,3388,61,53,0,40,40,61,60,0,0,-1,60,0,501
